,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
748,No account,21,Existing credits paid duly till now,used car,5248,Unknown/No savings,employed from 1 to 4 years,1,male single,none,3,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,none,yes,1
749,No account,15,Existing credits paid duly till now,used car,3029,<100 DM,employed from 4 to 7 years,2,male single,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee/official,1,none,yes,1
750,0 DM,6,Existing credits paid duly till now,furnitures,428,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,1,building society savings agreement/life insurance,49,bank,own,1,skilled employee/official,1,yes,yes,1
751,0 DM,18,Existing credits paid duly till now,new car,976,<100 DM,employed under 1 year,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,unskilled - resident,1,none,yes,2
752,<200 DM,12,Existing credits paid duly till now,business,841,100-500 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,1
753,No account,30,Has credits in other banks,radio/TV,5771,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,1
754,No account,12,Delay in paying in past,repairs,1555,>1000 DM,employed 7 years or more,4,male single,none,4,unknown/no property,55,none,for free,2,skilled employee/official,2,none,yes,2
755,0 DM,24,Existing credits paid duly till now,new car,1285,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,4,unknown/no property,32,none,rent,1,skilled employee/official,1,none,yes,2
756,>=200 DM,6,Has credits in other banks,new car,1299,<100 DM,employed from 1 to 4 years,1,male single,none,1,real estate,74,none,own,3,unemployed/unskilled - non-resident,2,none,no,1
757,>=200 DM,15,Has credits in other banks,radio/TV,1271,Unknown/No savings,employed from 1 to 4 years,3,male single,none,4,unknown/no property,39,none,for free,2,skilled employee/official,1,yes,yes,2
758,No account,24,Existing credits paid duly till now,new car,1393,<100 DM,employed from 1 to 4 years,2,male single,guarantor,2,real estate,31,none,own,1,skilled employee/official,1,yes,yes,1
759,0 DM,12,Has credits in other banks,new car,691,<100 DM,employed 7 years or more,4,male single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,2
760,No account,15,Has credits in other banks,new car,5045,Unknown/No savings,employed 7 years or more,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",59,none,own,1,skilled employee/official,1,yes,yes,1
761,0 DM,18,Has credits in other banks,furnitures,2124,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee/official,1,none,yes,2
762,0 DM,12,Existing credits paid duly till now,radio/TV,2214,<100 DM,employed from 1 to 4 years,4,male single,none,3,building society savings agreement/life insurance,24,none,own,1,unskilled - resident,1,none,yes,1
763,No account,21,Has credits in other banks,new car,12680,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,30,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
764,No account,24,Has credits in other banks,new car,2463,100-500 DM,employed from 4 to 7 years,4,male married/widowed,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,yes,yes,1
765,<200 DM,12,Existing credits paid duly till now,radio/TV,1155,<100 DM,employed 7 years or more,3,male married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,none,yes,1
766,0 DM,30,Existing credits paid duly till now,furnitures,3108,<100 DM,employed under 1 year,2,male divorced/separated,none,4,building society savings agreement/life insurance,31,none,own,1,unskilled - resident,1,none,yes,2
767,No account,10,Existing credits paid duly till now,used car,2901,Unknown/No savings,employed under 1 year,1,female divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee/official,1,none,yes,1
768,<200 DM,12,Has credits in other banks,furnitures,3617,<100 DM,employed 7 years or more,1,male single,none,4,"car or other, not in attribute 6",28,none,rent,3,skilled employee/official,1,yes,yes,1
769,No account,12,Has credits in other banks,radio/TV,1655,<100 DM,employed 7 years or more,2,male single,none,4,real estate,63,none,own,2,unskilled - resident,1,yes,yes,1
770,0 DM,24,Existing credits paid duly till now,used car,2812,Unknown/No savings,employed 7 years or more,2,female divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee/official,1,none,yes,1
771,0 DM,36,Has credits in other banks,education,8065,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
772,No account,21,Has credits in other banks,used car,3275,<100 DM,employed 7 years or more,1,male single,none,4,"car or other, not in attribute 6",36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
773,No account,24,Has credits in other banks,radio/TV,2223,100-500 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,52,bank,own,2,skilled employee/official,1,none,yes,1
774,>=200 DM,12,Has credits in other banks,new car,1480,500-1000 DM,unemployed,2,male single,none,4,unknown/no property,66,bank,for free,3,unemployed/unskilled - non-resident,1,none,yes,1
775,0 DM,24,Existing credits paid duly till now,new car,1371,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee/official,1,none,yes,2
776,No account,36,Has credits in other banks,new car,3535,<100 DM,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",37,none,own,2,skilled employee/official,1,yes,yes,1
777,0 DM,18,Existing credits paid duly till now,radio/TV,3509,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee/official,1,none,yes,1
778,No account,36,Has credits in other banks,used car,5711,>1000 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",38,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
779,<200 DM,18,Existing credits paid duly till now,repairs,3872,<100 DM,unemployed,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",67,none,own,1,skilled employee/official,1,yes,yes,1
780,<200 DM,39,Has credits in other banks,radio/TV,4933,<100 DM,employed from 4 to 7 years,2,male single,guarantor,2,real estate,25,none,own,2,skilled employee/official,1,none,yes,2
781,No account,24,Has credits in other banks,new car,1940,>1000 DM,employed 7 years or more,4,male single,none,4,real estate,60,none,own,1,skilled employee/official,1,yes,yes,1
782,<200 DM,12,No credits taken,retraining,1410,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,31,none,own,1,unskilled - resident,1,yes,yes,1
783,<200 DM,12,Existing credits paid duly till now,new car,836,100-500 DM,employed under 1 year,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,23,bank,own,1,unskilled - resident,1,none,yes,2
784,<200 DM,20,Existing credits paid duly till now,used car,6468,Unknown/No savings,unemployed,1,male divorced/separated,none,4,real estate,60,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
785,<200 DM,18,Existing credits paid duly till now,business,1941,>1000 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,35,none,own,1,unskilled - resident,1,yes,yes,1
786,No account,22,Existing credits paid duly till now,radio/TV,2675,500-1000 DM,employed 7 years or more,3,male single,none,4,"car or other, not in attribute 6",40,none,own,1,skilled employee/official,1,none,yes,1
787,No account,48,Has credits in other banks,used car,2751,Unknown/No savings,employed 7 years or more,4,male single,none,3,"car or other, not in attribute 6",38,none,own,2,skilled employee/official,2,yes,yes,1
788,<200 DM,48,Delay in paying in past,education,6224,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,2
789,0 DM,40,Has credits in other banks,education,5998,<100 DM,employed from 1 to 4 years,4,male single,none,3,unknown/no property,27,bank,own,1,skilled employee/official,1,yes,yes,2
790,<200 DM,21,Existing credits paid duly till now,business,1188,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,none,yes,2
791,No account,24,Existing credits paid duly till now,used car,6313,Unknown/No savings,employed 7 years or more,3,male single,none,4,"car or other, not in attribute 6",41,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
792,No account,6,Has credits in other banks,furnitures,1221,Unknown/No savings,employed from 1 to 4 years,1,male married/widowed,none,2,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
793,>=200 DM,24,Existing credits paid duly till now,furnitures,2892,<100 DM,employed 7 years or more,3,male divorced/separated,none,4,unknown/no property,51,none,for free,1,skilled employee/official,1,none,yes,1
794,No account,24,Existing credits paid duly till now,furnitures,3062,500-1000 DM,employed 7 years or more,4,male single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,yes,yes,1
795,No account,9,Existing credits paid duly till now,furnitures,2301,100-500 DM,employed under 1 year,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,1
796,0 DM,18,Existing credits paid duly till now,used car,7511,Unknown/No savings,employed 7 years or more,1,male single,none,4,building society savings agreement/life insurance,51,none,for free,1,skilled employee/official,2,yes,yes,2
797,No account,12,Has credits in other banks,furnitures,1258,<100 DM,employed under 1 year,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,2,unskilled - resident,1,none,yes,1
798,No account,24,Delay in paying in past,new car,717,Unknown/No savings,employed 7 years or more,4,male married/widowed,none,4,"car or other, not in attribute 6",54,none,own,2,skilled employee/official,1,yes,yes,1
799,<200 DM,9,Existing credits paid duly till now,new car,1549,Unknown/No savings,employed under 1 year,4,male single,none,2,real estate,35,none,own,1,unemployed/unskilled - non-resident,1,none,yes,1
800,No account,24,Has credits in other banks,education,1597,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,54,none,for free,2,skilled employee/official,2,none,yes,1
801,<200 DM,18,Has credits in other banks,radio/TV,1795,<100 DM,employed 7 years or more,3,female divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,yes,yes,1
802,0 DM,20,Has credits in other banks,furnitures,4272,<100 DM,employed 7 years or more,1,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,own,2,skilled employee/official,1,none,yes,1
803,No account,12,Has credits in other banks,radio/TV,976,Unknown/No savings,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",35,none,own,2,skilled employee/official,1,none,yes,1
804,<200 DM,12,Existing credits paid duly till now,new car,7472,Unknown/No savings,unemployed,1,female divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/unskilled - non-resident,1,none,yes,1
805,0 DM,36,Existing credits paid duly till now,new car,9271,<100 DM,employed from 4 to 7 years,2,male single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,yes,yes,2
806,<200 DM,6,Existing credits paid duly till now,radio/TV,590,<100 DM,employed under 1 year,3,male married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no,1
807,No account,12,Has credits in other banks,radio/TV,930,Unknown/No savings,employed 7 years or more,4,male single,none,4,real estate,65,none,own,4,skilled employee/official,1,none,yes,1
808,<200 DM,42,All credits paid duly,used car,9283,<100 DM,unemployed,1,male single,none,2,unknown/no property,55,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
809,<200 DM,15,No credits taken,new car,1778,<100 DM,employed under 1 year,2,female divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/unskilled - non-resident,1,none,yes,2
810,<200 DM,8,Existing credits paid duly till now,business,907,<100 DM,employed under 1 year,3,male married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,yes,1
811,<200 DM,6,Existing credits paid duly till now,radio/TV,484,<100 DM,employed from 4 to 7 years,3,male married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes,1
812,0 DM,36,Has credits in other banks,used car,9629,<100 DM,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",24,none,own,2,skilled employee/official,1,yes,yes,2
813,0 DM,48,Existing credits paid duly till now,household appliances,3051,<100 DM,employed from 1 to 4 years,3,male single,none,4,"car or other, not in attribute 6",54,none,own,1,skilled employee/official,1,none,yes,2
814,0 DM,48,Existing credits paid duly till now,new car,3931,<100 DM,employed from 4 to 7 years,4,male single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,2,none,yes,2
815,<200 DM,36,Delay in paying in past,new car,7432,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,building society savings agreement/life insurance,54,none,rent,1,skilled employee/official,1,none,yes,1
816,No account,6,Existing credits paid duly till now,household appliances,1338,500-1000 DM,employed from 1 to 4 years,1,male divorced/separated,none,4,real estate,62,none,own,1,skilled employee/official,1,none,yes,1
817,No account,6,Has credits in other banks,radio/TV,1554,<100 DM,employed from 4 to 7 years,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,2,skilled employee/official,1,yes,yes,1
818,0 DM,36,Existing credits paid duly till now,others,15857,<100 DM,unemployed,2,male divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
819,0 DM,18,Existing credits paid duly till now,radio/TV,1345,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,3,real estate,26,bank,own,1,skilled employee/official,1,none,yes,2
820,No account,12,Existing credits paid duly till now,new car,1101,<100 DM,employed from 1 to 4 years,3,male married/widowed,none,2,real estate,27,none,own,2,skilled employee/official,1,yes,yes,1
821,>=200 DM,12,Existing credits paid duly till now,radio/TV,3016,<100 DM,employed from 1 to 4 years,3,male married/widowed,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,1
822,0 DM,36,Existing credits paid duly till now,furnitures,2712,<100 DM,employed 7 years or more,2,male single,none,2,building society savings agreement/life insurance,41,bank,own,1,skilled employee/official,2,none,yes,2
823,0 DM,8,Has credits in other banks,new car,731,<100 DM,employed 7 years or more,4,male single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes,1
824,No account,18,Has credits in other banks,furnitures,3780,<100 DM,employed under 1 year,3,male divorced/separated,none,2,"car or other, not in attribute 6",35,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
825,0 DM,21,Has credits in other banks,new car,1602,<100 DM,employed 7 years or more,4,male married/widowed,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,yes,yes,1
826,0 DM,18,Has credits in other banks,new car,3966,<100 DM,employed 7 years or more,1,female divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee/official,1,yes,yes,2
827,No account,18,No credits taken,business,4165,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee/official,2,none,yes,2
828,0 DM,36,Existing credits paid duly till now,used car,8335,Unknown/No savings,employed 7 years or more,3,male single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,1,none,yes,2
829,<200 DM,48,Delay in paying in past,business,6681,Unknown/No savings,employed from 1 to 4 years,4,male single,none,4,unknown/no property,38,none,for free,1,skilled employee/official,2,yes,yes,1
830,No account,24,Delay in paying in past,business,2375,500-1000 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",44,none,own,2,skilled employee/official,2,yes,yes,1
831,0 DM,18,Existing credits paid duly till now,new car,1216,<100 DM,employed under 1 year,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",23,none,rent,1,skilled employee/official,1,yes,yes,2
832,0 DM,45,No credits taken,business,11816,<100 DM,employed 7 years or more,2,male single,none,4,"car or other, not in attribute 6",29,none,rent,2,skilled employee/official,1,none,yes,2
833,<200 DM,24,Existing credits paid duly till now,radio/TV,5084,Unknown/No savings,employed 7 years or more,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,yes,yes,1
834,>=200 DM,15,Existing credits paid duly till now,radio/TV,2327,<100 DM,employed under 1 year,2,female divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,2
835,0 DM,12,No credits taken,new car,1082,<100 DM,employed from 1 to 4 years,4,male single,none,4,"car or other, not in attribute 6",48,bank,own,2,skilled employee/official,1,none,yes,2
836,No account,12,Existing credits paid duly till now,radio/TV,886,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",21,none,own,1,skilled employee/official,1,none,yes,1
837,No account,4,Existing credits paid duly till now,furnitures,601,<100 DM,employed under 1 year,1,female divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes,1
838,0 DM,24,Has credits in other banks,used car,2957,<100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,63,none,own,2,skilled employee/official,1,yes,yes,1
839,No account,24,Has credits in other banks,radio/TV,2611,<100 DM,employed 7 years or more,4,male married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee/official,1,none,yes,1
840,0 DM,36,Existing credits paid duly till now,furnitures,5179,<100 DM,employed from 4 to 7 years,4,male single,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,none,yes,2
841,No account,21,Delay in paying in past,used car,2993,<100 DM,employed from 1 to 4 years,3,male single,none,2,real estate,28,stores,own,2,unskilled - resident,1,none,yes,1
842,No account,18,Existing credits paid duly till now,repairs,1943,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/official,1,none,yes,2
843,No account,24,All credits paid duly,business,1559,<100 DM,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",50,bank,own,1,skilled employee/official,1,yes,yes,1
844,No account,18,Existing credits paid duly till now,furnitures,3422,<100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,1
845,<200 DM,21,Existing credits paid duly till now,furnitures,3976,Unknown/No savings,employed from 4 to 7 years,2,male single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee/official,1,yes,yes,1
846,No account,18,Existing credits paid duly till now,new car,6761,Unknown/No savings,employed from 1 to 4 years,2,male single,none,4,"car or other, not in attribute 6",68,none,rent,2,skilled employee/official,1,none,yes,2
847,No account,24,Existing credits paid duly till now,new car,1249,<100 DM,employed under 1 year,4,male married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
848,0 DM,9,Existing credits paid duly till now,radio/TV,1364,<100 DM,employed from 4 to 7 years,3,male single,none,4,real estate,59,none,own,1,skilled employee/official,1,none,yes,1
849,0 DM,12,Existing credits paid duly till now,radio/TV,709,<100 DM,employed 7 years or more,4,male single,none,4,real estate,57,stores,own,1,unskilled - resident,1,none,yes,2
850,0 DM,20,Has credits in other banks,new car,2235,<100 DM,employed from 1 to 4 years,4,male married/widowed,guarantor,2,building society savings agreement/life insurance,33,bank,rent,2,skilled employee/official,1,none,no,2
851,No account,24,Has credits in other banks,used car,4042,Unknown/No savings,employed from 4 to 7 years,3,male single,none,4,building society savings agreement/life insurance,43,none,own,2,skilled employee/official,1,yes,yes,1
852,No account,15,Has credits in other banks,radio/TV,1471,<100 DM,employed from 1 to 4 years,4,male single,none,4,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,1
853,0 DM,18,All credits paid duly,new car,1442,<100 DM,employed from 4 to 7 years,4,male single,none,4,unknown/no property,32,none,for free,2,unskilled - resident,2,none,yes,2
854,No account,36,Delay in paying in past,new car,10875,<100 DM,employed 7 years or more,2,male single,none,2,"car or other, not in attribute 6",45,none,own,2,skilled employee/official,2,yes,yes,1
855,No account,24,Existing credits paid duly till now,new car,1474,100-500 DM,employed under 1 year,4,male married/widowed,none,3,real estate,33,none,own,1,skilled employee/official,1,yes,yes,1
856,No account,10,Existing credits paid duly till now,retraining,894,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,40,none,own,1,skilled employee/official,1,yes,yes,1
857,No account,15,Has credits in other banks,furnitures,3343,<100 DM,employed from 1 to 4 years,4,male single,none,2,unknown/no property,28,none,for free,1,skilled employee/official,1,yes,yes,1
858,0 DM,15,Existing credits paid duly till now,new car,3959,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,yes,yes,2
859,No account,9,Existing credits paid duly till now,new car,3577,100-500 DM,employed from 1 to 4 years,1,male single,guarantor,2,real estate,26,none,rent,1,skilled employee/official,2,none,no,1
860,No account,24,Has credits in other banks,used car,5804,>1000 DM,employed from 1 to 4 years,4,male single,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,1
861,No account,18,Delay in paying in past,business,2169,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,yes,yes,2
862,0 DM,24,Existing credits paid duly till now,radio/TV,2439,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee/official,1,yes,yes,2
863,No account,27,Has credits in other banks,furnitures,4526,>1000 DM,employed under 1 year,4,male single,none,2,real estate,32,stores,own,2,unskilled - resident,2,yes,yes,1
864,No account,10,Existing credits paid duly till now,furnitures,2210,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,2
865,No account,15,Existing credits paid duly till now,furnitures,2221,500-1000 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,1
866,0 DM,18,Existing credits paid duly till now,radio/TV,2389,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee/official,1,none,yes,1
867,No account,12,Has credits in other banks,furnitures,3331,<100 DM,employed 7 years or more,2,male single,none,4,building society savings agreement/life insurance,42,stores,own,1,skilled employee/official,1,none,yes,1
868,No account,36,Existing credits paid duly till now,business,7409,Unknown/No savings,employed 7 years or more,3,male single,none,2,building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,none,yes,1
869,0 DM,12,Existing credits paid duly till now,furnitures,652,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,1
870,No account,36,Delay in paying in past,furnitures,7678,500-1000 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee/official,1,yes,yes,1
871,>=200 DM,6,Has credits in other banks,new car,1343,<100 DM,employed 7 years or more,1,male single,none,4,real estate,46,none,own,2,skilled employee/official,2,none,no,1
872,0 DM,24,Has credits in other banks,business,1382,100-500 DM,employed from 4 to 7 years,4,male single,none,1,real estate,26,none,own,2,skilled employee/official,1,yes,yes,1
873,No account,15,Existing credits paid duly till now,household appliances,874,Unknown/No savings,employed under 1 year,4,female divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
874,0 DM,12,Existing credits paid duly till now,furnitures,3590,<100 DM,employed from 1 to 4 years,2,male single,co-applicant,2,building society savings agreement/life insurance,29,none,own,1,unskilled - resident,2,none,yes,1
875,<200 DM,11,Has credits in other banks,new car,1322,>1000 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee/official,1,none,yes,1
876,0 DM,18,All credits paid duly,radio/TV,1940,<100 DM,employed under 1 year,3,male single,co-applicant,4,unknown/no property,36,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
877,No account,36,Existing credits paid duly till now,radio/TV,3595,<100 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,1
878,0 DM,9,Existing credits paid duly till now,new car,1422,<100 DM,employed under 1 year,3,male single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
879,No account,30,Has credits in other banks,radio/TV,6742,Unknown/No savings,employed from 4 to 7 years,2,male single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,none,yes,1
880,No account,24,Existing credits paid duly till now,used car,7814,<100 DM,employed from 4 to 7 years,3,male single,none,3,"car or other, not in attribute 6",38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
881,No account,24,Existing credits paid duly till now,used car,9277,Unknown/No savings,employed from 1 to 4 years,2,male divorced/separated,none,4,unknown/no property,48,none,for free,1,skilled employee/official,1,yes,yes,1
882,<200 DM,30,Has credits in other banks,new car,2181,Unknown/No savings,employed 7 years or more,4,male single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
883,No account,18,Has credits in other banks,radio/TV,1098,<100 DM,unemployed,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/unskilled - non-resident,1,none,yes,1
884,<200 DM,24,Existing credits paid duly till now,furnitures,4057,<100 DM,employed from 4 to 7 years,3,male divorced/separated,none,3,"car or other, not in attribute 6",43,none,own,1,skilled employee/official,1,yes,yes,2
885,0 DM,12,Existing credits paid duly till now,education,795,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,none,yes,2
886,<200 DM,24,Has credits in other banks,business,2825,Unknown/No savings,employed from 4 to 7 years,4,male single,none,3,unknown/no property,34,none,own,2,skilled employee/official,2,yes,yes,1
887,<200 DM,48,Existing credits paid duly till now,business,15672,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,yes,yes,2
888,No account,36,Has credits in other banks,new car,6614,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
889,No account,28,All credits paid duly,used car,7824,Unknown/No savings,employed under 1 year,3,male single,guarantor,4,real estate,40,bank,rent,2,skilled employee/official,2,yes,yes,1
890,0 DM,27,Has credits in other banks,business,2442,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/self-employed/highly qualified employee/officer,2,yes,yes,1
891,No account,15,Has credits in other banks,radio/TV,1829,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee/official,1,yes,yes,1
892,0 DM,12,Has credits in other banks,new car,2171,<100 DM,employed from 1 to 4 years,4,male single,none,4,building society savings agreement/life insurance,38,bank,own,2,unskilled - resident,1,none,no,1
893,<200 DM,36,Has credits in other banks,used car,5800,<100 DM,employed from 1 to 4 years,3,male single,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee/official,1,yes,yes,1
894,No account,18,Has credits in other banks,radio/TV,1169,Unknown/No savings,employed from 1 to 4 years,4,male single,none,3,building society savings agreement/life insurance,29,none,own,2,skilled employee/official,1,yes,yes,1
895,No account,36,Delay in paying in past,used car,8947,Unknown/No savings,employed from 4 to 7 years,3,male single,none,2,"car or other, not in attribute 6",31,stores,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
896,0 DM,21,Existing credits paid duly till now,radio/TV,2606,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
897,No account,12,Has credits in other banks,furnitures,1592,>1000 DM,employed from 4 to 7 years,3,female divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,1,skilled employee/official,1,none,no,1
898,No account,15,Existing credits paid duly till now,furnitures,2186,Unknown/No savings,employed from 4 to 7 years,1,female divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,1
899,0 DM,18,Existing credits paid duly till now,furnitures,4153,<100 DM,employed from 1 to 4 years,2,male single,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,none,yes,2
